Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:5UKiSkJWHBliIEnypXC8KG,Spring Lovers,Minuano,indie,track,2010
spotify:track:7MIP2TUfAIU43MvrG0qF6S,Our Darkness - Remix,Anne Clark,indie,track,2010
spotify:track:3XNlp4fJs4W7jbeYDfD3aD,Imame li vrazka,Alisia,indie,track,2010
spotify:track:0JETYuePsiRyCZoQdgxZG2,Black Rain,Soundgarden,indie,track,2010
spotify:track:6dm2oQnfLEQJrHQ2YgmTIq,Me And The Moon,The Drums,indie,track,2010
spotify:track:0dDimBYK9vnddHnpla1LdE,Bloodshot Eyes,General Elektriks,indie,track,2010
spotify:track:0LiS8FBV3PkVMxvW81w3G9,Futuristic Casket,Phantogram,indie,track,2010
spotify:track:7tcmxexcz66H462fzWsAsA,The Same,Alex G,indie,track,2010
spotify:track:5BHfKRD3LTxFz1tX8AH0DN,Black Hole Sun,Soundgarden,indie,track,2010
spotify:track:3hjkUx7yObuKOaozfUETqf,Piensa En Mi,Pedro Guerra,indie,track,2010
spotify:track:1sVgwExhzhOQEpkyhBbTwt,Nada Que Decir,Mr. Kilombo,indie,track,2010
spotify:track:6rioARwhYpbZWr0scswFVQ,Hey It's OK,Lilly Wood and The Prick,indie,track,2010
spotify:track:07f8auNO6jl9RwMVqxbJr7,Vuelvo,Ismael Serrano,indie,track,2010
spotify:track:0doEeyNpSTtMmrGh4DTzxc,Rococo,Arcade Fire,indie,track,2010
spotify:track:0pQeeBMnuo6fog2NwlTu57,Cathedral,Cocoon,indie,track,2010
spotify:track:4OcKALot4zQxZ3OXgDmeDc,Wax & Wire,Loch Lomond,indie,track,2010
spotify:track:3qMIrWWMKHNGKp8oyS2gQU,Mundo abisal,Jorge Drexler,indie,track,2010
spotify:track:5yY7zyXsKwGQxmSlcodTd4,Canto a la libertad,Labordeta,indie,track,2010
spotify:track:2XDlVEFMdOonigPxtSjbmV,Tiempo al Tiempo,Mr. Kilombo,indie,track,2010
spotify:track:4Tm2TkKTe23pgMXMzOK4Z2,Excuses,The Morning Benders,indie,track,2010
